Title,Link,Review,Reviews_Clean,Polarity_Score,sentiment_female lead,sentiment_FL,sentiment_second female lead,sentiment_male lead,sentiment_ML,sentiment_second male lead,sentiment_cast,sentiment_main leads,sentiment_ensemble cast,sentiment_couple,sentiment_side couples,sentiment_plot,sentiment_story,sentiment_beginning,sentiment_ending,sentiment_romance,sentiment_acting,sentiment_kiss,romance,kiss,steamy,comedy,melodrama,wholesome,sad,slow burn,tropey,action,OST,bingeworthy,top,bad
Flex X Cop,https://mydramalist.com/746193-gold-spoon,"decently entertaining drama. it started off very fun and i liked that there were different cases the team worked on. it kept things interesting instead of just having one plot. however, with the family drama storyline i think there were too many twists, but at the same time it was predictable that his brother turned out to be a bady guy. i also would have liked to see more romance between the two main leads (or even the second couple) to keep things interesting.","['decently', 'entertaining', 'drama', 'started', 'fun', 'liked', 'different', 'case', 'team', 'worked', 'kept', 'thing', 'interesting', 'instead', 'one', 'plot', 'however', 'family', 'drama', 'storyline', 'think', 'many', 'twist', 'time', 'predictable', 'brother', 'turned', 'bady', 'guy', 'also', 'would', 'liked', 'see', 'romance', 'two', 'main', 'lead', 'even', 'second', 'couple', 'keep', 'thing', 'interesting']",0.3120512820512821,,,,,,,,0.2945,,0.3981944444444444,,0.32816666666666666,0.32816666666666666,,,0.28061111111111114,,,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Flower of Evil,https://mydramalist.com/54625-flower-of-evil,This is a REALLY good drama. Super interesting plot and the male lead’s acting is SO GOOD. The FL’s acting is a little basic and she makes like the same 5 faces the whole time. Kid in this is so adorable. Occasionally the cat and mouse game got a tad tiring but overall great story and ending. Love that it’s really a love story hidden in a thriller/suspense story.,"['really', 'good', 'drama', 'super', 'interesting', 'plot', 'male', 'lead', 'acting', 'good', 'fl', 'acting', 'little', 'basic', 'make', 'like', '5', 'face', 'whole', 'time', 'kid', 'adorable', 'occasionally', 'cat', 'mouse', 'game', 'got', 'tad', 'tiring', 'overall', 'great', 'story', 'ending', 'love', 'really', 'love', 'story', 'hidden', 'thrillersuspense', 'story']",0.20942982456140355,,0.253258547008547,,0.3370833333333333,,,,,,,,0.3319878472222222,0.23719618055555558,,0.23719618055555558,,0.2790178571428571,,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Gaus Electronics,https://mydramalist.com/713645-gaus-electronics,"Very cute romance and super hilarious, but a couple of sus slightly racist parts. Liked that at least Aziz was incorporated as a full character and not just ornamental.","['cute', 'romance', 'super', 'hilarious', 'couple', 'sus', 'slightly', 'racist', 'part', 'liked', 'least', 'aziz', 'incorporated', 'full', 'character', 'ornamental']",0.2809523809523809,,,,,,,,,,0.3076388888888889,,,,,,0.43472222222222223,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Goblin,https://mydramalist.com/18452-goblin,A total classic. LOVE THE SECOND COUPLE SO MUCH. The main couple is a bit creepy bc of the age difference so that was hard to get past. A bit boring in the beginning. But by the end loved it. Felt the feels for sure. “A beautiful life” is such a good OST song.,"['total', 'classic', 'love', 'second', 'couple', 'much', 'main', 'couple', 'bit', 'creepy', 'bc', 'age', 'difference', 'hard', 'get', 'past', 'bit', 'boring', 'beginning', 'end', 'loved', 'felt', 'feel', 'sure', 'beautiful', 'life', 'good', 'ost', 'song']",0.1161111111111111,,,,,,,,,,0.13219696969696967,,,,0.22458333333333336,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Good Job,https://mydramalist.com/723887-good-job,"Funny and cute show, very enjoyable. The mystery was a bit basic. Would def watch a s2 where they solve a diff case each day rather than one long one.","['funny', 'cute', 'show', 'enjoyable', 'mystery', 'bit', 'basic', 'would', 'def', 'watch', 's2', 'solve', 'diff', 'case', 'day', 'rather', 'one', 'long', 'one']",0.26999999999999996,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Happiness,https://mydramalist.com/690709-happiness,"I was a bit torn on this one bc on one hand I kind of thought it was over hyped. But then once I finished it I couldn’t stop thinking about it and upon further reflection it’s actually really well done. Very suspenseful, has twists and turns, romance and action. Liked the message that the humans were actually the real monsters not the infected. Didn’t love the FL as an actress but liked that she was a strong female lead. Loved the ML. Liked that they saved and helped each other and that the woman wasn’t always the damsel in distress.","['bit', 'torn', 'one', 'bc', 'one', 'hand', 'kind', 'thought', 'hyped', 'finished', 'couldnt', 'stop', 'thinking', 'upon', 'reflection', 'actually', 'really', 'well', 'done', 'suspenseful', 'twist', 'turn', 'romance', 'action', 'liked', 'message', 'human', 'actually', 'real', 'monster', 'infected', 'didnt', 'love', 'fl', 'actress', 'liked', 'strong', 'female', 'lead', 'loved', 'ml', 'liked', 'saved', 'helped', 'woman', 'wasnt', 'always', 'damsel', 'distress']",0.29388888888888887,0.3428030303030303,0.2964743589743589,,0.3428030303030303,0.2700320512820513,,,,,,,,,,,0.26401515151515154,,,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Healer,https://mydramalist.com/10814-healer,Slightly cheesy since it’s an older drama but the plot and the romance are great. Action packed. A bit melodramatic but loved it.,"['slightly', 'cheesy', 'since', 'older', 'drama', 'plot', 'romance', 'great', 'action', 'packed', 'bit', 'melodramatic', 'loved']",0.2533333333333333,,,,,,,,,,,,0.18333333333333332,,,,0.18333333333333332,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Heartbeat,https://mydramalist.com/746637-my-heart-beats,"Started off fun, then got boring, then got kind of cute, but then got super melodramatic. was hoping for a twist ending where he lived, but he died in the end which was unsatisfying. had some bright spots but felt the urge to fast forward toward the end of the series. taecyon was good in it tho (and super cute). didnt love the female lead (or SFL
or SML either lol)","['started', 'fun', 'got', 'boring', 'got', 'kind', 'cute', 'got', 'super', 'melodramatic', 'hoping', 'twist', 'ending', 'lived', 'died', 'end', 'unsatisfying', 'bright', 'spot', 'felt', 'urge', 'fast', 'forward', 'toward', 'end', 'series', 'taecyon', 'good', 'tho', 'super', 'cute', 'didnt', 'love', 'female', 'lead', 'sfl', 'sml', 'either', 'lol']",0.3435897435897436,0.5666666666666667,0.5527777777777778,,0.5666666666666667,0.5527777777777778,,,,,,,,,,0.30666666666666664,,,,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Her Private Life,https://mydramalist.com/32293-her-private-life,Obvi love the plot bc being a fan girl is close to my heart lol. Probably my favorite park min young drama tho I don’t love the leads that much. A fun watch but not the most memorable.,"['obvi', 'love', 'plot', 'bc', 'fan', 'girl', 'close', 'heart', 'lol', 'probably', 'favorite', 'park', 'min', 'young', 'drama', 'tho', 'dont', 'love', 'lead', 'much', 'fun', 'watch', 'memorable']",0.4625,,,,,,,,,,,,0.4785714285714286,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Hierarchy,https://mydramalist.com/749309-hierarchy,this has to be one of the worst kdramas i have ever watched. the plot was so poorly written and predictable. it felt like a bad american melodrama. it tried fo be edgy but the actinf was just lackluster and awkward. none of the characters were charming and i couldnt even root for the male lead because he made dumb choices. the female lead has has ao much plastic surgery and was frighteningly thin and her acting was robotic. the only good thing about this drama was that it was only 7 episodes.,"['one', 'worst', 'kdramas', 'ever', 'watched', 'plot', 'poorly', 'written', 'predictable', 'felt', 'like', 'bad', 'american', 'melodrama', 'tried', 'fo', 'edgy', 'actinf', 'lackluster', 'awkward', 'none', 'character', 'charming', 'couldnt', 'even', 'root', 'male', 'lead', 'made', 'dumb', 'choice', 'female', 'lead', 'ao', 'much', 'plastic', 'surgery', 'frighteningly', 'thin', 'acting', 'robotic', 'good', 'thing', 'drama', '7', 'episode']",-0.14605263157894735,-0.11574675324675325,,,-0.15416666666666667,,,,,,,,-0.5493055555555556,,,,,-0.04553571428571428,,0,0,0,0,1,0,0,0,0,0,0,0,0,1
