Title,Link,Review
Happiness,https://mydramalist.com/690709-happiness,"I was a bit torn on this one bc on one hand I kind of thought it was over hyped. But then once I finished it I couldn’t stop thinking about it and upon further reflection it’s actually really well done. Very suspenseful, has twists and turns, romance and action. Liked the message that the humans were actually the real monsters not the infected. Didn’t love the FL as an actress but liked that she was a strong female lead. Loved the ML. Liked that they saved and helped each other and that the woman wasn’t always the damsel in distress."
Healer,https://mydramalist.com/10814-healer,Slightly cheesy since it’s an older drama but the plot and the romance are great. Action packed. A bit melodramatic but loved it.
Heartbeat,https://mydramalist.com/746637-my-heart-beats,"Started off fun, then got boring, then got kind of cute, but then got super melodramatic. was hoping for a twist ending where he lived, but he died in the end which was unsatisfying. had some bright spots but felt the urge to fast forward toward the end of the series. taecyon was good in it tho (and super cute). didnt love the female lead (or SFL
or SML either lol)"
Her Private Life,https://mydramalist.com/32293-her-private-life,Obvi love the plot bc being a fan girl is close to my heart lol. Probably my favorite park min young drama tho I don’t love the leads that much. A fun watch but not the most memorable.
Hierarchy,https://mydramalist.com/749309-hierarchy,this has to be one of the worst kdramas i have ever watched. the plot was so poorly written and predictable. it felt like a bad american melodrama. it tried fo be edgy but the actinf was just lackluster and awkward. none of the characters were charming and i couldnt even root for the male lead because he made dumb choices. the female lead has has ao much plastic surgery and was frighteningly thin and her acting was robotic. the only good thing about this drama was that it was only 7 episodes.
Hometown Cha-Cha-Cha,https://mydramalist.com/683929-mr-hong,This is a fantastic slice of life romcom. Great ensemble cast - reminded me of CLOY in that way. Love that it’s set outside of Seoul. There was a bit of conflict here and there with the main couple but nothing annoying like a breakup or time jump. Cute and satisfying happy ending. Love triangle a bit unnecessary. Overall very heartwarming and cute drama. Would rewatch. Also super funny!
Into the Ring,https://mydramalist.com/55675-the-ballot,"Quirky, fun drama. SUPER GOOD KISS SCENES! Like, they actually move their lips. Romance is cute and sweet. Main female lead could be slightly annoying at times. But loved all the strong female leads in this overall. The male lead was very good at acting - it was weird to see him in this role after seeing him as the bad guy in the glory but I got over that quickly lol. An all around good drama."
It's Okay to Not Be Okay,https://mydramalist.com/49865-psycho-but-it-s-okay,Kind of overrated. The brother is great. The FL is kind of refreshing bc she’s so blunt and outspoken but also kind of annoying. Dragged a bit. Not something I have a desire to rewatch really
Itaewon Class,https://mydramalist.com/33898-itaewon-class,I liked the representation in this and the first few eps are good. FL and SFL are terribly annoying and couldn’t see past this. Also v cheesy and dramatic most of the time. And PSJ’s hair does not do him any favors.
Just Between Lovers,https://mydramalist.com/24230-just-between-lovers,"Made me cry so many times, so glad it had a happy ending, loved the leads, great acting, ending felt rushed and there was a bit too much breaking up between the leads"
King the Land,https://mydramalist.com/726273-king-the-lander,"super cute adorable romcom (in the same league as business proposal). the part with the saudi prince was a tad sus and some of the family drama was a bit meh, but besides that the drama had a great cast, adorable couple moments, a cute second couple, a great OST, and a cute ending. junho is so damn attractive and adorable in this one."
Kiss Sixth Sense,https://mydramalist.com/707571-kiss-six-sense,"Had some cute and also steamy couple moments and seemed promising at the beginning but overall the show wasn’t great. The second lead characters were annoying, the backstory ended up being kind of cliche, and the ending with all the fighting and breaking up was not cute. A couple of episodes in the middle were cute when they were sneaking around the office. There were bright moments but not a standout show by any means."
Light on Me,https://mydramalist.com/688367-saebit-boys-high-school-council,Very cute. Love triangle is done well in that I loved both love interests and did not know which one the main lead would choose. But it’s a short series and the plot moves fast and I wish there had been more cute moments and more depth to the characters storylines backgrounds and motivations. Very adorable miniseries tho
Like Flowers in Sand,https://mydramalist.com/748911-the-sand-flower,What a beautiful drama. So wholesome. made me laugh and made me cry. the acting of the main leads is SO GOOD. Kim Baek Doo is so pure and adorable and will go down in history as one of my favorite kdrama characters of all time. the main actor completely owned the role. the female lead is also fantastic. the ssireum wrestling and the murder plot were essential to the story but didnt overwhelm it. it was the romance and friendship that really shined through. only complaint is that it could have been 16 episodes and then we could have gotten more cute couple scenes post-love-confession but the 12 episode narrative was done well and they stuck the landing.
"Link: Eat, Love, Kill",https://mydramalist.com/80001-link,"Very solid drama. ML is incredible - his acting is just so good and he’s especially good at the emotional scenes. A few scenes in this drama made me bawl. There w was a mix of suspense, sadness, cuteness and humor in this drama. Sometimes the switching between these moods was a little jarring but overall it worked. Could have been an amazing drama if they leaned all the way in to drama and made it more like my mister but it still had romantic comedy elements. Overall enjoyable."
Love All Play,https://mydramalist.com/694427-the-speed-going-to-you-493km,"Best love story, chemistry, and male lead I’ve seen in a while. I laughed and I cried. Got a bit melodramatic in the middle but overall this is a kdrama that gave me ALL the feels. Park Taeyang and Park Taejun are the cutest ahhhhhhhh"
Love Is for Suckers,https://mydramalist.com/719759-love-that-will-freeze-to-death,Started off interesting. I was super intrigued by the reality dating show plot esp since the FL is a commentator on singles inferno. The backstory of the ML was super emotional and I was into it for a while. But the plot reaaaally dragged in the middle to end and I ended up fast forwarding to see what happens bc I was so I engaged by the end. I loved the side couple of John Jang and the webtoon artist tho - they were adorable and that’s the first love plot I’ve seen for a female actress who’s a bit “heavier” and not your typical love interest.
Love Next Door,https://mydramalist.com/758259-mom-s-friend-s-son,"This drama was a bit of a rollercoaster in that it had major ups and downs. started off great — very cute and intruiging given its amazing cast. i was especially excited to see the two main actors in a couple together since i love them both. but then it went downhill in the middle and did not rebound until the last 4-5 episodes which were pretty much just a return to cute fluff, plus some heartwarming family moments. having said all that, this drama had some very very sweet couples scenes — especially the kiss scene in the sunflower field and the proposal scenes — and some character and family moments that made me cry. It had a nice satisfying ending so im glad i watched it in the end but it was a bit overhyped overall."
